区分	漢字	読み方	漢字部	意味	image	point
1	禁止	きんし	Cấm, Chỉ	Cấm đoán, nghiêm cấm	イメージ/漢字/禁止	0
2	禁煙	きんえん	Cấm, Yên	Cấm hút thuốc	イメージ/漢字/禁煙	0
3	煙	けむり	Yên	Khói	イメージ/漢字/煙	0
4	安静な	あんせいな	An, Tĩnh	Yên tĩnh, nghỉ ngơi	イメージ/漢字/安静な	0
5	静かな	しずかな	Tĩnh	Yên tĩnh, vắng lặng, Êm đềm	イメージ/漢字/静かな	0
6	静まる	しずまる	Tĩnh	Lắng xuống, yên tĩnh xuống	イメージ/漢字/静まる	0
7	危機	きき	Nguy, Cơ	Khủng hoảng, Nguy cơ	イメージ/漢字/危機	0
8	危ない	あぶない	Nguy	Nguy hiểm, Không đáng tin	イメージ/漢字/危ない	0
9	危うい	あやうい	Nguy	Suýt chết, nguy hiểm	イメージ/漢字/危うい	0
10	危険な	きけんな	Nguy, Hiểm	Nguy Hiểm, Gập ghềnh, Hiểm nghèo	イメージ/漢字/危険な	0
11	険しい	けわしい	Hiểm	Hiểm trở, Nghiêm khắc	イメージ/漢字/険しい	0
12	関心	かんしん	Quan, Tâm	Sự quan tâm, Tâm tư.	イメージ/漢字/関心	0
13	関わる	かかわる	Quan	Liên quan, về	イメージ/漢字/関わる	0
14	～に関する	～にかんする	Quan	Có quan hệ, có liên quan tới	イメージ/漢字/～に関する	0
15	関係	かんけい	Quan, Hệ	Liên quan, sự quan hệ	イメージ/漢字/関係	0
16	係	かかり	Hệ	Người phụ trách, người chịu trách nhiệm	イメージ/漢字/係	0
17	係員	かかりいん	Hệ, Viên	Người phụ trách, người chịu trách nhiệm	イメージ/漢字/係員	0
18	落ちる	おちる	Lạc	Ngã, Rơi rớt, Rụng, Tuột xuống	イメージ/漢字/落ちる	0
19	転落	てんらく	Chuyển, Lạc	Giáng chức, Rớt xuống	イメージ/漢字/転落	0
20	落第	らくだい	Lạc, Đệ	Sự thi trượt	イメージ/漢字/落第	0
21	落とす	おとす	Lạc	Bỏ rơi, Đánh rơi, Cưa đổ (gái)	イメージ/漢字/落とす	0
22	石	いし	Thạch	Hòn đá	イメージ/漢字/石	0
23	落石	らくせき	Lạc, Thạch	Sự rơi đá từ trên núi xuống	イメージ/漢字/落石	0
24	磁石	じしゃく	Từ, Thạch	Nam châm, Quặng sắt từ	イメージ/漢字/磁石	0
25	飛ぶ	とぶ	Phi	Bay	イメージ/漢字/飛ぶ	0
26	飛行場	ひこうじょう	Phi, Hành, Trường	Phi trường, sân bay	イメージ/漢字/飛行場	0
27	飛び出す	とびだす	Phi, Xuất	Bay ra, Từ chức	イメージ/漢字/飛び出す	0
28	駐車場	ちゅうしゃじょう	Trú, Xa, Trường	Bãi đổ xe	イメージ/漢字/駐車場	0
29	駐車	ちゅうしゃ	Trú, Xa	Đổ xe	イメージ/漢字/駐車	0
30	捨てる	すてる	Xá	Vứt, ném, bỏ, từ bỏ	イメージ/漢字/捨てる	0
31	四捨五入	ししゃごにゅう	Tứ, Xá, Ngũ, Nhập	Làm tròn số	イメージ/漢字/四捨五入	0
32	遊ぶ	あそぶ	Du	Vui chơi, nô đùa	イメージ/漢字/遊ぶ	0
33	遊泳	ゆうえい	Du, Vịnh	Bơi lội	イメージ/漢字/遊泳	0
34	泳ぐ	およぐ	Vịnh	Bơi	イメージ/漢字/泳ぐ	0
35	水泳	すいえい	Thủy, Vịnh	Việc bơi	イメージ/漢字/水泳	0
36	署名	しょめい	Thự, Danh	Chữ ký	イメージ/漢字/署名	0
37	部署	ぶしょ	Bộ, Thự	Phòng ban trong công ty	イメージ/漢字/部署	0
38	消防署	しょうぼうしょ	Tiêu, Phòng, Thự 	Cục PCCC	イメージ/漢字/消防署	0
39	税務署	ぜいむしょ	Thuế, Vụ, Thự	Chi cục thuế	イメージ/漢字/税務署	0
40	依頼	いらい	Ỷ, Lại	Nhờ vào người khác	イメージ/漢字/依頼	0
41	信頼	しんらい	Tín, Lại	Người đáng tin cậy	イメージ/漢字/信頼	0
42	頼む	たのむ	Tín	Nhờ vào	イメージ/漢字/頼む	0
43	頼る	たよる	Tín	Nhờ cậy	イメージ/漢字/頼る	0
44	頼もしい	たのもしい	Tín	Đáng tin cậy	イメージ/漢字/頼もしい	0
45	頼りない	たよりない	Tín	Không đáng tin	イメージ/漢字/頼りない	0
46	都道府県	とどうふけん	Bộ, Đạo, Phủ, Tỉnh	Các tỉnh thành phố của Nhật	イメージ/漢字/都道府県	0
47	京都府	きょうとぶ		Phủ Tokyo	イメージ/漢字/京都府	0
48	到着	とうちゃく		Đến, đến nơi	イメージ/漢字/到着	0
49	希望	きぼう	Bố, Vọng	Nguyện vọng	イメージ/漢字/希望	0
50	失望	しつぼう	Thất, Vọng	Thất vọng	イメージ/漢字/失望	0
51	望む	のぞむ	Vọng	Mong muốn	イメージ/漢字/望む	0
52	望遠鏡	ぼうえんきょう	Vọng, Viễn, Kính	Kính viễn vọng	イメージ/漢字/望遠鏡	0
53	申請	しんせい	Thân, Thỉnh	Sự thỉnh cầu	イメージ/漢字/申請	0
54	申す	もうす	Thân	Nói là, được gọi là	イメージ/漢字/申す	0
55	申し込み	もうしこみ	Thân, Vu	Đăng ký	イメージ/漢字/申し込み	0
56	申し上げる	もうしあげる	Thân, Thượng	Phát biểu, khiêm nhường ngữ của 言います	イメージ/漢字/申し上げる	0
